px, py, yaw, speed
0.282318, 8.602820, 3.069089, 5.492152
0.282318, 8.602820, 3.069089, 5.492152
0.227600, 8.607567, 3.071965, 5.492525
0.227600, 8.607567, 3.071965, 5.492525
0.172866, 8.612163, 3.074998, 5.492881
0.172866, 8.612163, 3.074998, 5.492881
0.172866, 8.612163, 3.074998, 5.492881
0.118118, 8.616633, 3.077850, 5.493219
0.118118, 8.616633, 3.077850, 5.493219
0.063354, 8.620947, 3.080859, 5.493542
0.063354, 8.620947, 3.080859, 5.493542
0.063354, 8.620947, 3.080859, 5.493542
0.008576, 8.625131, 3.083689, 5.493849
0.008576, 8.625131, 3.083689, 5.493849
-0.046216, 8.629158, 3.086678, 5.494141
-0.046216, 8.629158, 3.086678, 5.494141
-0.046216, 8.629158, 3.086678, 5.494141
-0.101021, 8.633051, 3.089489, 5.494420
-0.101021, 8.633051, 3.089489, 5.494420
-0.155839, 8.636784, 3.092461, 5.494685
-0.155839, 8.636784, 3.092461, 5.494685
-0.155839, 8.636784, 3.092461, 5.494685
-0.210669, 8.640381, 3.095257, 5.494938
-0.210669, 8.640381, 3.095257, 5.494938
-0.265513, 8.643817, 3.098215, 5.495179
-0.265513, 8.643817, 3.098215, 5.495179
-0.265513, 8.643817, 3.098215, 5.495179
-0.320366, 8.647115, 3.100999, 5.495408
-0.320366, 8.647115, 3.100999, 5.495408
-0.375232, 8.650250, 3.103946, 5.495626
-0.375232, 8.650250, 3.103946, 5.495626
-0.375232, 8.650250, 3.103946, 5.495626
-0.430108, 8.653246, 3.106720, 5.495834
-0.430108, 8.653246, 3.106720, 5.495834
-0.484994, 8.656078, 3.109658, 5.496032
-0.484994, 8.656078, 3.109658, 5.496032
-0.484994, 8.656078, 3.109658, 5.496032
-0.539889, 8.658770, 3.112424, 5.496221
-0.539889, 8.658770, 3.112424, 5.496221
-0.594794, 8.661297, 3.115356, 5.496401
-0.594794, 8.661297, 3.115356, 5.496401
-0.594794, 8.661297, 3.115356, 5.496401
-0.649707, 8.663684, 3.118116, 5.496572
-0.649707, 8.663684, 3.118116, 5.496572
-0.704629, 8.665904, 3.121043, 5.496735
-0.704629, 8.665904, 3.121043, 5.496735
-0.704629, 8.665904, 3.121043, 5.496735
-0.759558, 8.667984, 3.123798, 5.496890
-0.759558, 8.667984, 3.123798, 5.496890
-0.814494, 8.669897, 3.126721, 5.497038
-0.814494, 8.669897, 3.126721, 5.497038
-0.814494, 8.669897, 3.126721, 5.497038
-0.869436, 8.671669, 3.129473, 5.497179
-0.869436, 8.671669, 3.129473, 5.497179
-0.924385, 8.673273, 3.132393, 5.497313
-0.924385, 8.673273, 3.132393, 5.497313
-0.924385, 8.673273, 3.132393, 5.497313
-0.979340, 8.674737, 3.135142, 5.497441
-0.979340, 8.674737, 3.135142, 5.497441
-1.034299, 8.676033, 3.138060, 5.497562
-1.034299, 8.676033, 3.138060, 5.497562
-1.034299, 8.676033, 3.138060, 5.497562
-1.089263, 8.677187, 3.140808, 5.497678
-1.089263, 8.677187, 3.140808, 5.497678
-1.144232, 8.678174, -3.139461, 5.497789
-1.144232, 8.678174, -3.139461, 5.497789
-1.144232, 8.678174, -3.139461, 5.497789
-1.199203, 8.679045, -3.137037, 5.497894
-1.199203, 8.679045, -3.137037, 5.497894
-1.254177, 8.679852, -3.135613, 5.497994
-1.254177, 8.679852, -3.135613, 5.497994
-1.254177, 8.679852, -3.135613, 5.497994
-1.309153, 8.680567, -3.134696, 5.498089
-1.309153, 8.680567, -3.134696, 5.498089
-1.364130, 8.681222, -3.134497, 5.498180
-1.364130, 8.681222, -3.134497, 5.498180
-1.364130, 8.681222, -3.134497, 5.498180
-1.419109, 8.681794, -3.134569, 5.498267
-1.419109, 8.681794, -3.134569, 5.498267
-1.474090, 8.682319, -3.135164, 5.498349
-1.474090, 8.682319, -3.135164, 5.498349
-1.474090, 8.682319, -3.135164, 5.498349
-1.529072, 8.682778, -3.135870, 5.498428
-1.529072, 8.682778, -3.135870, 5.498428
-1.584055, 8.683207, -3.136966, 5.498502
-1.584055, 8.683207, -3.136966, 5.498502
-1.584055, 8.683207, -3.136966, 5.498502
-1.639039, 8.683588, -3.138063, 5.498574
-1.639039, 8.683588, -3.138063, 5.498574
-1.694024, 8.683957, -3.139463, 5.498641
-1.694024, 8.683957, -3.139463, 5.498641
-1.694024, 8.683957, -3.139463, 5.498641
-1.749009, 8.684296, -3.140792, 5.498706
-1.749009, 8.684296, -3.140792, 5.498706
-1.803996, 8.684640, 3.140821, 5.498768
-1.803996, 8.684640, 3.140821, 5.498768
-1.803996, 8.684640, 3.140821, 5.498768
-1.858983, 8.684972, 3.139364, 5.498826
-1.858983, 8.684972, 3.139364, 5.498826
-1.913970, 8.685325, 3.137702, 5.498882
-1.913970, 8.685325, 3.137702, 5.498882
-1.913970, 8.685325, 3.137702, 5.498882
-1.968958, 8.685680, 3.136186, 5.498935
-1.968958, 8.685680, 3.136186, 5.498935
-2.023946, 8.686070, 3.134486, 5.498986
-2.023946, 8.686070, 3.134486, 5.498986
-2.023946, 8.686070, 3.134486, 5.498986
-2.078935, 8.686449, 3.133273, 5.499034
-2.078935, 8.686449, 3.133273, 5.499034
-2.133925, 8.686771, 3.133059, 5.499080
-2.133925, 8.686771, 3.133059, 5.499080
-2.133925, 8.686771, 3.133059, 5.499080
-2.188915, 8.687067, 3.133357, 5.499124
-2.188915, 8.687067, 3.133357, 5.499124
-2.243906, 8.687312, 3.134380, 5.499165
-2.243906, 8.687312, 3.134380, 5.499165
-2.243906, 8.687312, 3.134380, 5.499165
-2.298897, 8.687532, 3.135684, 5.499205
-2.298897, 8.687532, 3.135684, 5.499205
-2.353889, 8.687694, 3.137522, 5.499243
-2.353889, 8.687694, 3.137522, 5.499243
-2.353889, 8.687694, 3.137522, 5.499243
-2.408882, 8.687822, 3.139482, 5.499279
-2.408882, 8.687822, 3.139482, 5.499279
-2.463875, 8.687881, -3.141342, 5.499313
-2.463875, 8.687881, -3.141342, 5.499313
-2.463875, 8.687881, -3.141342, 5.499313
-2.518868, 8.687893, -3.138965, 5.499346
-2.518868, 8.687893, -3.138965, 5.499346
-2.573861, 8.687824, -3.136276, 5.499377
-2.573861, 8.687824, -3.136276, 5.499377
-2.573861, 8.687824, -3.136276, 5.499377
-2.628855, 8.687719, -3.133966, 5.499407
-2.628855, 8.687719, -3.133966, 5.499407
-2.683849, 8.687623, -3.132573, 5.499435
-2.683849, 8.687623, -3.132573, 5.499435
-2.683849, 8.687623, -3.132573, 5.499435
-2.738844, 8.687502, -3.131623, 5.499462
-2.738844, 8.687502, -3.131623, 5.499462
-2.793838, 8.687381, -3.131345, 5.499487
-2.793838, 8.687381, -3.131345, 5.499487
-2.793838, 8.687381, -3.131345, 5.499487
-2.848833, 8.687232, -3.131306, 5.499512
-2.848833, 8.687232, -3.131306, 5.499512
-2.903828, 8.687085, -3.131768, 5.499535
-2.903828, 8.687085, -3.131768, 5.499535
-2.903828, 8.687085, -3.131768, 5.499535
-2.958823, 8.686915, -3.132327, 5.499557
-2.958823, 8.686915, -3.132327, 5.499557
-3.013819, 8.686754, -3.133270, 5.499578
-3.013819, 8.686754, -3.133270, 5.499578
-3.013819, 8.686754, -3.133270, 5.499578
