px, py, yaw, odom_speed
-3.322019, -0.132666, -0.048440, 5.495080
-3.322019, -0.132666, -0.048440, 5.495080
-3.267168, -0.135999, -0.045359, 5.495314
-3.267168, -0.135999, -0.045359, 5.495314
-3.267168, -0.135999, -0.045359, 5.495314
-3.212308, -0.139214, -0.042459, 5.495537
-3.212308, -0.139214, -0.042459, 5.495537
-3.157437, -0.142283, -0.039402, 5.495749
-3.157437, -0.142283, -0.039402, 5.495749
-3.157437, -0.142283, -0.039402, 5.495749
-3.102557, -0.145228, -0.036526, 5.495951
-3.102557, -0.145228, -0.036526, 5.495951
-3.047668, -0.148020, -0.033493, 5.496144
-3.047668, -0.148020, -0.033493, 5.496144
-3.047668, -0.148020, -0.033493, 5.496144
-2.992770, -0.150685, -0.030641, 5.496327
-2.992770, -0.150685, -0.030641, 5.496327
-2.937863, -0.153194, -0.027630, 5.496502
-2.937863, -0.153194, -0.027630, 5.496502
-2.937863, -0.153194, -0.027630, 5.496502
-2.882949, -0.155571, -0.024798, 5.496668
-2.882949, -0.155571, -0.024798, 5.496668
-2.828026, -0.157789, -0.021806, 5.496827
-2.828026, -0.157789, -0.021806, 5.496827
-2.828026, -0.157789, -0.021806, 5.496827
-2.773097, -0.159873, -0.018992, 5.496978
-2.773097, -0.159873, -0.018992, 5.496978
-2.718160, -0.161796, -0.016017, 5.497121
-2.718160, -0.161796, -0.016017, 5.497121
-2.718160, -0.161796, -0.016017, 5.497121
-2.663217, -0.163583, -0.013218, 5.497258
-2.663217, -0.163583, -0.013218, 5.497258
-2.608268, -0.165206, -0.010256, 5.497389
-2.608268, -0.165206, -0.010256, 5.497389
-2.608268, -0.165206, -0.010256, 5.497389
-2.553314, -0.166692, -0.007470, 5.497513
-2.553314, -0.166692, -0.007470, 5.497513
-2.498354, -0.168013, -0.004519, 5.497631
-2.498354, -0.168013, -0.004519, 5.497631
-2.498354, -0.168013, -0.004519, 5.497631
-2.443390, -0.169221, -0.002064, 5.497744
-2.443390, -0.169221, -0.002064, 5.497744
-2.388424, -0.170368, -0.000613, 5.497851
-2.388424, -0.170368, -0.000613, 5.497851
-2.388424, -0.170368, -0.000613, 5.497851
-2.333455, -0.171425, 0.000327, 5.497953
-2.333455, -0.171425, 0.000327, 5.497953
-2.278484, -0.172423, 0.000547, 5.498050
-2.278484, -0.172423, 0.000547, 5.498050
-2.278484, -0.172423, 0.000547, 5.498050
-2.223511, -0.173340, 0.000492, 5.498143
-2.223511, -0.173340, 0.000492, 5.498143
-2.168536, -0.174212, -0.000087, 5.498231
-2.168536, -0.174212, -0.000087, 5.498231
-2.168536, -0.174212, -0.000087, 5.498231
-2.113559, -0.175018, -0.000779, 5.498316
-2.113559, -0.175018, -0.000779, 5.498316
-2.058581, -0.175795, -0.001863, 5.498396
-2.058581, -0.175795, -0.001863, 5.498396
-2.058581, -0.175795, -0.001863, 5.498396
-2.003602, -0.176525, -0.002950, 5.498472
-2.003602, -0.176525, -0.002950, 5.498472
-1.948621, -0.177243, -0.004340, 5.498545
-1.948621, -0.177243, -0.004340, 5.498545
-1.948621, -0.177243, -0.004340, 5.498545
-1.893640, -0.177932, -0.005662, 5.498614
-1.893640, -0.177932, -0.005662, 5.498614
-1.838658, -0.178628, -0.007228, 5.498680
-1.838658, -0.178628, -0.007228, 5.498680
-1.838658, -0.178628, -0.007228, 5.498680
-1.783675, -0.179311, -0.008678, 5.498743
-1.783675, -0.179311, -0.008678, 5.498743
-1.728692, -0.180015, -0.010335, 5.498802
-1.728692, -0.180015, -0.010335, 5.498802
-1.728692, -0.180015, -0.010335, 5.498802
-1.673708, -0.180695, -0.011525, 5.498859
-1.673708, -0.180695, -0.011525, 5.498859
-1.618722, -0.181308, -0.011729, 5.498913
-1.618722, -0.181308, -0.011729, 5.498913
-1.618722, -0.181308, -0.011729, 5.498913
-1.563736, -0.181884, -0.011433, 5.498965
-1.563736, -0.181884, -0.011433, 5.498965
-1.508748, -0.182400, -0.010419, 5.499014
-1.508748, -0.182400, -0.010419, 5.499014
-1.508748, -0.182400, -0.010419, 5.499014
