px, py, yaw, speed
2.058975, 8.493304, 3.083054, 5.446191
2.058975, 8.493304, 3.083054, 5.446191
2.004525, 8.494959, 3.080874, 5.448750
2.004525, 8.494959, 3.080874, 5.448750
2.004525, 8.494959, 3.080874, 5.448750
1.950057, 8.496795, 3.078950, 5.451187
1.950057, 8.496795, 3.078950, 5.451187
1.895569, 8.498777, 3.077531, 5.453508
1.895569, 8.498777, 3.077531, 5.453508
1.895569, 8.498777, 3.077531, 5.453508
1.841065, 8.500925, 3.076209, 5.455719
1.841065, 8.500925, 3.076209, 5.455719
1.786545, 8.503205, 3.075262, 5.457824
1.786545, 8.503205, 3.075262, 5.457824
1.786545, 8.503205, 3.075262, 5.457824
1.732011, 8.505634, 3.074307, 5.459830
1.732011, 8.505634, 3.074307, 5.459830
1.677463, 8.508178, 3.073641, 5.461740
1.677463, 8.508178, 3.073641, 5.461740
1.677463, 8.508178, 3.073641, 5.461740
1.622902, 8.510856, 3.072897, 5.463559
1.622902, 8.510856, 3.072897, 5.463559
1.568328, 8.513633, 3.072386, 5.465292
1.568328, 8.513633, 3.072386, 5.465292
1.568328, 8.513633, 3.072386, 5.465292
1.513744, 8.516529, 3.071752, 5.466942
1.513744, 8.516529, 3.071752, 5.466942
1.459148, 8.519510, 3.071318, 5.468514
1.459148, 8.519510, 3.071318, 5.468514
1.459148, 8.519510, 3.071318, 5.468514
1.404542, 8.522596, 3.070733, 5.470011
1.404542, 8.522596, 3.070733, 5.470011
1.349926, 8.525755, 3.070325, 5.471437
1.349926, 8.525755, 3.070325, 5.471437
1.349926, 8.525755, 3.070325, 5.471437
1.295302, 8.529008, 3.069750, 5.472795
1.295302, 8.529008, 3.069750, 5.472795
1.240668, 8.532323, 3.069341, 5.474089
1.240668, 8.532323, 3.069341, 5.474089
1.240668, 8.532323, 3.069341, 5.474089
1.186027, 8.535724, 3.068757, 5.475321
1.186027, 8.535724, 3.068757, 5.475321
1.131377, 8.539179, 3.068331, 5.476495
1.131377, 8.539179, 3.068331, 5.476495
1.131377, 8.539179, 3.068331, 5.476495
1.076720, 8.542711, 3.067726, 5.477612
1.076720, 8.542711, 3.067726, 5.477612
1.022056, 8.546291, 3.067277, 5.478677
1.022056, 8.546291, 3.067277, 5.478677
1.022056, 8.546291, 3.067277, 5.478677
0.967386, 8.549942, 3.066646, 5.479691
0.967386, 8.549942, 3.066646, 5.479691
0.912709, 8.553635, 3.066171, 5.480656
0.912709, 8.553635, 3.066171, 5.480656
0.912709, 8.553635, 3.066171, 5.480656
0.858027, 8.557395, 3.065515, 5.481576
0.858027, 8.557395, 3.065515, 5.481576
0.803338, 8.561193, 3.065016, 5.482452
0.803338, 8.561193, 3.065016, 5.482452
0.803338, 8.561193, 3.065016, 5.482452
0.748646, 8.565054, 3.064336, 5.483287
0.748646, 8.565054, 3.064336, 5.483287
0.693947, 8.568950, 3.063814, 5.484081
0.693947, 8.568950, 3.063814, 5.484081
0.693947, 8.568950, 3.063814, 5.484081
0.639246, 8.572905, 3.063114, 5.484838
0.639246, 8.572905, 3.063114, 5.484838
0.584539, 8.576893, 3.062572, 5.485559
0.584539, 8.576893, 3.062572, 5.485559
0.584539, 8.576893, 3.062572, 5.485559
